dataset,model,objective,method,seed,model_path,meta_path,runtime_seconds,Retain,Forget,Val,Test,Val MIA,Test MIA,status,error_message
cifar10,resnet18,objective10,influence,7,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_7.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_7_meta.txt,30.96221399307251,0.954091503267974,0.9430588235294116,0.8466666666666667,0.8382,0.5670588235294118,0.5570588235294118,ok,
cifar10,resnet18,objective10,influence,8,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_8.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_8_meta.txt,31.806108474731445,0.939843137254902,0.9272941176470588,0.8366666666666667,0.8398,0.5478823529411765,0.5476470588235294,ok,
cifar10,resnet18,objective10,influence,9,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_9.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/influence/10_resnet18_9_meta.txt,30.06548571586609,0.9257777777777778,0.9197647058823528,0.8394666666666667,0.8356,0.5407058823529411,0.5470588235294118,ok,
cifar10,resnet18,objective10,kgltop1,0,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_0.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_0_meta.txt,193.55855083465576,0.9963398692810458,0.8628235294117647,0.8254666666666667,0.8273,0.5077647058823529,0.5068235294117647,ok,
cifar10,resnet18,objective10,kgltop1,1,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_1.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_1_meta.txt,187.17061805725095,0.9985882352941176,0.864,0.8338666666666666,0.8291,0.4990588235294118,0.4961176470588236,ok,
cifar10,resnet18,objective10,kgltop1,2,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_2.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_2_meta.txt,192.04009699821472,0.9954509803921568,0.8524705882352941,0.8332,0.829,0.504470588235294,0.5012941176470588,ok,
cifar10,resnet18,objective10,kgltop1,3,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_3.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_3_meta.txt,187.5045166015625,0.9965490196078431,0.859764705882353,0.8348,0.8322,0.5130588235294118,0.5032941176470589,ok,
cifar10,resnet18,objective10,kgltop1,4,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_4.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_4_meta.txt,198.59126567840576,0.9938300653594772,0.8564705882352941,0.8210666666666666,0.8229,0.5029411764705883,0.5036470588235294,ok,
cifar10,resnet18,objective10,kgltop1,5,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_5.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_5_meta.txt,191.36856842041016,0.9964444444444444,0.8710588235294118,0.8336,0.8267,0.5032941176470588,0.5112941176470589,ok,
cifar10,resnet18,objective10,kgltop1,6,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_6.pth,/data/santiago.medina/deepunlearn/artifacts/cifar10/objective10/kgltop1/10_resnet18_6_meta.txt,197.53467392921448,0.9962614379084967,0.8729411764705882,0.8432,0.8388,0.4961176470588236,0.5109411764705882,ok,
